,index,content,type,label
0,14099,"<p>已知关于$$x$$的一元二次方程$$a{{x}^{2}}=b(a\ne 0)$$的两个根分别是$$2m+4$$和$$m-1$$，则$$\frac{b}{a}$$的值为&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;．</p>
解析：
<p>由题意可知：$$a{{x}^{2}}=b$$有两个根，</p>
<p>由直接开方法可知：$$m-1$$与$$2m{}+4$$互为相反数，</p>
<p>&there4;$$m-1+2m+4=0$$，</p>
<p>&there4;$$m=-1$$，</p>
<p>&there4;$$m-1=-2$$，$$2m+4=2$$，</p>
<p>&there4;$${{x}^{2}}=\frac{b}{a}=4$$．</p>
<p>故答案为：$$4$$．</p>",普通题,一元二次方程根与系数的关系
1,34702,"<p><span class=""math-content"" data-math=""\frac{1}{x_{1}^{2}}+\frac{1}{x_{2}^{2}}"" ori-data=""\frac{1}{x_{1}^{2}}+\frac{1}{x_{2}^{2}}"" style=""color:#000000; font-size:14px"">$\frac{1}{x_{1}^{2}}+\frac{1}{x_{2}^{2}}$</span>．</p>
解析：
<p><span class=""math-content"" data-math=""\frac{1}{x_{1}^{2}}+\frac{1}{x_{2}^{2}}=\frac{x_{1}^{2}+x_{2}^{2}}{\left( x_{1}x_{2}\right)^{2}}=\frac{\left( x_{1}+x_{2}\right)^{2}-2x_{2}x_{2}}{\left( x_{1}x_{2}\right)^{2}}=6"" ori-data=""\frac{1}{x_{1}^{2}}+\frac{1}{x_{2}^{2}}=\frac{x_{1}^{2}+x_{2}^{2}}{\left( x_{1}x_{2}\right)^{2}}=\frac{\left( x_{1}+x_{2}\right)^{2}-2x_{2}x_{2}}{\left( x_{1}x_{2}\right)^{2}}=6"" style=""color:#000000; font-size:14px"">$\frac{1}{x_{1}^{2}}+\frac{1}{x_{2}^{2}}=\frac{x_{1}^{2}+x_{2}^{2}}{\left( x_{1}x_{2}\right)^{2}}=\frac{\left( x_{1}+x_{2}\right)^{2}-2x_{2}x_{2}}{\left( x_{1}x_{2}\right)^{2}}=6$</span>．</p>",普通题,一元二次方程根与系数的关系
2,13728,"<p>求代数式$$2\left( {{x}^{2}}-5xy \right)-3\left( {{x}^{2}}-6xy \right)$$的值，其中$$x=-1$$， $$y=\frac{1}{2}$$．</p>
解析：
<p>原式$$=2{{x}^{2}}-10xy-3{{x}^{2}}+18xy$$</p>
<p>$$=-{{x}^{2}}+8x y$$，</p>
<p>把$$x=-1$$， $$y=\frac{1}{2}$$代入得：原式$$=-5$$．</p>",普通题,整式加减化简求值-直接代入化简求值
3,972,"<p>如果关于$$x$$的方程$$m{{x}^{2}}-2\left( m+2 \right)x+m+5=0$$没有实数根，那么关于$$x$$的方程$$\left( m-5 \right){{x}^{2}}-2\left( m+2 \right)x+m=0$$的实根的个数为(　　)．</p>
解析：
<p>由前一个方程$${{\Delta }_{1}}  <  0$$得$$m>4$$；当$$m=5$$时，后一个方程为一次方程；当$$m>4$$且$$m\ne 5$$时，$${{\Delta }_{2}}>0$$．</p>",普通题,一元二次方程根的判别式
4,12840,"<p>已知$${{x}_{1}},{{x}_{2}},\cdots ,{{x}_{n}}$$是实数，$${{a}_{1}},{{a}_{2}},\cdots ,{{a}_{n}}$$和$${{b}_{1}},{{b}_{2}},\cdots ,{{b}_{n}}$$均是正整数．令$$a=\frac{{{a}_{1}}{{x}_{1}}+{{a}_{2}}{{x}_{2}}+\cdots +{{a}_{n}}{{x}_{n}}}{{{a}_{1}}+{{a}_{2}}+\cdots +{{a}_{n}}}$$，</p>
<p>$$b=\frac{{{b}_{1}}{{x}_{1}}+{{b}_{2}}{{x}_{2}}+\cdots +{{b}_{n}}{{x}_{n}}}{{{b}_{1}}+{{b}_{2}}+\cdots +{{b}_{n}}}$$，</p>
<p>求证：在$${{x}_{1}},{{x}_{2}},\cdots ,{{x}_{n}}$$中，必存在两个数$${{x}_{i}},{{x}_{j}}$$，使得$$\left| a-b \right|\leqslant \left| a-{{x}_{i}} \right|\leqslant \left| {{x}_{i}}-{{x}_{j}} \right|$$成立．</p>
解析：
<p>不妨假设$${{x}_{1}}\leqslant {{x}_{2}}\leqslant \cdots \leqslant {{x}_{n}}$$，则取$${{x}_{i}}={{x}_{n}},{{x}_{j}}={{x}_{1}}$$</p>
<p>则$$b=\frac{{{b}_{1}}{{x}_{1}}+{{b}_{2}}{{x}_{2}}+\cdots +{{b}_{n}}{{x}_{n}}}{{{b}_{1}}+{{b}_{2}}+\cdots +{{b}_{n}}}\leqslant \frac{{{b}_{1}}{{x}_{n}}+{{b}_{2}}{{x}_{n}}+\cdots +{{b}_{n}}{{x}_{1}}}{{{b}_{1}}+{{b}_{2}}+\cdots +{{b}_{n}}}={{x}_{n}}$$，则$$\left| a-b \right|\leqslant \left| a-{{x}_{n}} \right|$$</p>
<p>则$$a=\frac{{{a}_{1}}{{x}_{1}}+{{a}_{2}}{{x}_{2}}+\cdots +{{a}_{n}}{{x}_{n}}}{{{a}_{1}}+{{a}_{2}}+\cdots +{{a}_{n}}}\geqslant \frac{{{a}_{1}}{{x}_{1}}+{{a}_{2}}{{x}_{1}}+\cdots +{{a}_{n}}{{x}_{1}}}{{{a}_{1}}+{{a}_{2}}+\cdots +{{a}_{n}}}={{x}_{1}}$$，则$$\left| a-{{x}_{n}} \right|\leqslant \left| {{x}_{1}}-{{x}_{n}} \right|$$</p>
<p>故在$${{x}_{1}},{{x}_{2}},\cdots ,{{x}_{n}}$$中，必存在两个数$${{x}_{i}},{{x}_{j}}$$，使得$$\left| a-b \right|\leqslant \left| a-{{x}_{i}} \right|\leqslant \left| {{x}_{i}}-{{x}_{j}} \right|$$成立．</p>",普通题,不等式的性质
5,34430,"<p>解方程：$$(3x+4)(3x-4)=9{{(x-2)}^{2}}$$．</p>
解析：
<p>$$\begin{eqnarray} (3x+4)(3x-4)&amp;=&amp;9{{(x-2)}^{2}}\\ {\large 解：}9{{x}^{2}}-16&amp;=&amp;9({{x}^{2}}-4x+4)\\ 9{{x}^{2}}-16&amp;=&amp;9{{x}^{2}}-36x+36\\ 36x&amp;=&amp;52\\ x&amp;=&amp;\frac{13}{9}．\end{eqnarray}$$</p>",普通题,常规一元一次方程解法
6,47066,"<p>求这批产品的数量．</p>
解析：
<p>$$160\times 8=1280$$（件）．</p>
<p>即这批产品的数量为$$1280$$件．</p>",普通题,有理数乘除法与实际问题
7,2381,"<p>解不等式组：$$\begin{cases}2x-7&lt;{}3(x-1) \\ \dfrac{4}{3}x+3\geqslant 1-\dfrac{2}{3}x \\ \end{cases}$$．</p>
解析：
<p>$$\begin{cases}2x-{{k}^{3}}(x-1) &nbsp;\\ \dfrac{4}{3}x+3\geqslant 1-\dfrac{2}{3}x &nbsp;\\ \end{cases}$$解得①式$$x&gt;-4$$，解②式得$$x\geqslant -1$$，所以不等式解集为$$x&gt;-4$$．</p>",普通题,解一元一次不等式组
8,58616,"<p>画出这个函数的图象．</p>
解析：
<p>如图：</p>
<p><img alt="""" data=""https://taltools.speiyou.com"" height=""210"" src=""https://taltools.speiyou.com"" width=""214"" /></p>
<p>求$$b$$，$$c$$的值．</p>
解析：
<p>∵抛物线经过点$$A(-1,0)$$，$$B(0,3)$$，</p>
<p>&there4;$$\begin{cases} -1-b+c=0 \\ c=3 \end{cases}$$．</p>
<p>解得$$\begin{cases} b=2 \\ c=3 \end{cases}$$．</p>",复合题,二次函数一般式
9,25981,"<p>小李家离学校$$7$$公里，他乘坐标准型出租车从家去学校需要付&nbsp;<u>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</u>&nbsp;元．</p>
解析：
<p>小李乘标准出租车到学校需：</p>
<p>$$10+\left( 7-3 \right)\times 2=10+2\times 4=18$$（元）．</p>
<p>故答案为：$$18$$．</p>",普通题,有理数乘除法与实际问题
